age,income,city,label
42,119346,LA,1
20,53936,Chicago,0
49,73075,LA,1
48,66930,Chicago,0
31,86150,NYC,1
36,38316,NYC,0
57,124779,LA,1
52,148815,Chicago,1
69,98892,NYC,1
37,32945,Chicago,0
22,137812,Chicago,1
39,81884,Chicago,1
24,66372,LA,0
38,100070,Chicago,1
31,146695,Chicago,1
48,78024,Chicago,1
34,28163,Chicago,0
18,32225,Chicago,0
43,113094,Chicago,1
58,20149,Chicago,0
49,128535,LA,1
33,115719,LA,1
63,134094,NYC,1
30,140195,Chicago,1
32,51275,NYC,0
69,91170,LA,1
23,30544,LA,0
50,142268,LA,1
24,59511,Chicago,0
36,112610,NYC,1
53,63614,Chicago,0
31,146332,Chicago,1
53,97020,LA,1
46,32010,Chicago,0
69,70449,LA,1
54,51733,LA,0
29,44823,NYC,0
20,100317,Chicago,1
34,82459,NYC,1
23,108961,NYC,1
27,141029,NYC,1
23,137725,Chicago,1
52,109587,LA,1
63,88756,LA,1
51,126381,NYC,1
31,137314,Chicago,1
55,128168,LA,1
55,56072,LA,0
49,106539,Chicago,1
62,140185,LA,1
23,62509,Chicago,0
25,83759,Chicago,1
58,63944,NYC,0
33,22124,Chicago,0
35,35353,Chicago,0
32,68766,NYC,0
39,75853,NYC,1
24,122644,NYC,1
62,48675,NYC,0
70,95217,Chicago,1
52,98927,Chicago,1
22,23499,NYC,0
58,44709,Chicago,0
54,35688,LA,0
23,68514,NYC,0
20,99364,NYC,1
30,145964,NYC,1
63,36239,LA,0
31,115309,NYC,1
61,22986,Chicago,0
45,101343,NYC,1
34,29175,NYC,0
22,104793,LA,1
40,77156,NYC,1
21,86012,LA,1
20,98182,NYC,1
62,149529,LA,1
30,54096,LA,0
64,81632,Chicago,1
28,111448,Chicago,1
31,146687,NYC,1
68,108631,NYC,1
28,64867,Chicago,0
34,35363,Chicago,0
46,107242,NYC,1
18,81816,Chicago,1
44,137977,Chicago,1
50,140260,LA,1
59,66812,LA,0
60,52890,NYC,0
53,110547,NYC,1
47,117199,NYC,1
39,116864,NYC,1
52,56815,NYC,0
33,119898,LA,1
40,99971,LA,1
61,67081,Chicago,0
58,131905,Chicago,1
26,113797,LA,1
42,118105,LA,1
59,30580,NYC,0
56,45206,Chicago,0
39,40981,NYC,0
32,103545,LA,1
42,113106,Chicago,1
54,134627,LA,1
20,72725,Chicago,1
54,74817,Chicago,1
63,26131,NYC,0
46,28373,LA,0
62,40668,LA,0
51,135991,LA,1
53,99164,NYC,1
20,84825,LA,1
37,129803,LA,1
21,126043,LA,1
30,91901,Chicago,1
23,129766,Chicago,1
26,149344,NYC,1
43,144459,Chicago,1
44,61441,NYC,0
31,21873,Chicago,0
66,20309,Chicago,0
51,100224,NYC,1
30,35584,Chicago,0
59,46019,LA,0
35,110248,NYC,1
24,82338,LA,1
58,30662,NYC,0
35,139784,LA,1
69,123853,NYC,1
34,37487,Chicago,0
51,127121,Chicago,1
59,65488,NYC,0
27,56491,NYC,0
20,25329,NYC,0
61,54035,Chicago,0
38,144059,LA,1
54,139256,NYC,1
65,145986,Chicago,1
56,105899,LA,1
63,104429,LA,1
58,77074,LA,1
52,43368,NYC,0
42,96955,LA,1
18,38147,NYC,0
35,63700,LA,0
68,68129,Chicago,0
23,64335,Chicago,0
20,25400,LA,0
28,39584,Chicago,0
36,67304,LA,0
53,36992,LA,0
25,82660,Chicago,1
33,142389,NYC,1
37,43538,Chicago,0
64,29288,LA,0
43,129518,LA,1
37,74358,NYC,1
24,93509,LA,1
48,64181,LA,0
25,82794,NYC,1
62,85239,LA,1
20,59571,LA,0
65,110060,NYC,1
28,102148,Chicago,1
42,125659,Chicago,1
23,28629,NYC,0
30,118286,NYC,1
21,70438,NYC,1
24,71617,Chicago,1
51,57987,LA,0
49,123322,Chicago,1
63,109037,NYC,1
