sqft,bedrooms,city,price
2077,4,NYC,350792
2594,4,LA,429069
2452,3,Chicago,396378
2567,2,LA,402339
888,5,LA,186925
3388,5,NYC,558281
904,1,Chicago,146009
2433,5,NYC,415746
2278,3,Chicago,370050
2763,4,LA,457991
1566,1,Chicago,240130
882,4,Chicago,167318
3006,4,LA,489896
3491,3,Chicago,549681
1282,5,NYC,241209
1083,5,LA,208944
829,3,Chicago,157366
946,3,Chicago,171669
3394,1,Chicago,519551
2713,2,Chicago,430915
2906,3,LA,462401
2942,4,LA,485731
1491,3,NYC,251752
1264,1,Chicago,198860
2451,1,NYC,374783
1112,1,NYC,180657
3299,4,Chicago,538444
1628,5,NYC,292725
3283,5,LA,546947
1627,4,LA,284905
837,3,Chicago,152439
2492,5,Chicago,424293
1279,2,NYC,211290
979,2,LA,164643
1862,4,NYC,315948
1099,2,NYC,189252
3097,5,Chicago,510762
609,1,Chicago,99438
2983,5,NYC,498859
874,3,NYC,156696
2980,1,NYC,455030
3441,1,LA,524600
3478,1,Chicago,527073
2729,4,Chicago,446012
1564,1,NYC,240779
3149,3,LA,504494
1238,1,Chicago,198353
661,5,NYC,150560
1316,3,LA,230104
2833,2,Chicago,443282
737,2,NYC,131158
2668,3,NYC,434977
2311,2,NYC,369377
3290,4,Chicago,536832
1775,3,LA,295361
1128,5,Chicago,214403
2375,1,LA,361998
2729,3,NYC,438284
2473,3,Chicago,400666
3258,3,Chicago,515868
3431,3,LA,546439
3165,1,NYC,489491
1287,3,NYC,221972
1413,4,LA,256258
2197,1,LA,343847
2213,1,NYC,344246
761,3,Chicago,141733
2328,5,LA,403398
2973,1,NYC,459053
1835,3,LA,301066
2200,2,Chicago,346367
3471,2,NYC,542233
3279,4,LA,526905
1374,1,Chicago,211138
3267,5,Chicago,536652
1280,1,Chicago,200252
1738,3,Chicago,288685
910,4,LA,172832
589,3,LA,115246
1550,2,Chicago,256033
3165,3,NYC,502280
1640,1,NYC,251666
1342,3,Chicago,231456
2002,5,NYC,355254
3184,4,Chicago,520114
3122,4,LA,512113
1230,2,LA,209119
1692,1,NYC,261274
1611,3,LA,272666
3442,1,LA,521884
668,3,NYC,127648
2889,3,LA,464818
2746,2,LA,428782
2458,2,NYC,388744
1235,5,Chicago,231411
1739,4,LA,300752
2198,1,NYC,343888
2470,4,LA,411130
1009,4,NYC,194504
2247,1,LA,347539
3314,2,NYC,521348
2038,1,NYC,312087
1311,2,NYC,217954
532,1,LA,93917
2625,3,LA,426755
2895,2,LA,450620
2008,2,LA,325788
1182,4,NYC,218173
971,1,Chicago,151102
2653,4,Chicago,436254
987,4,LA,187252
1348,1,NYC,209597
928,2,LA,160393
1981,5,NYC,343866
2942,4,NYC,485539
2162,4,Chicago,367416
3282,3,LA,525469
3101,2,Chicago,490140
1396,1,LA,219614
1818,1,Chicago,280130
1552,5,NYC,284009
2887,3,Chicago,465757
771,1,Chicago,121295
771,2,NYC,131315
1730,1,LA,269916
1158,2,Chicago,196248
2020,5,LA,356680
2557,1,Chicago,390035
3279,5,Chicago,538101
2246,2,LA,360672
2951,4,LA,484016
2988,5,NYC,493535
3191,1,Chicago,486631
1738,5,Chicago,309869
1862,1,LA,288592
1740,4,LA,302286
755,2,Chicago,130336
1478,3,Chicago,252172
727,1,LA,120896
1077,4,Chicago,197887
3258,2,LA,510436
644,5,LA,147935
2379,1,NYC,369565
1120,1,NYC,182802
3028,2,Chicago,474506
931,5,Chicago,190329
1298,4,LA,231518
746,5,Chicago,164554
3016,3,Chicago,479436
3295,5,LA,541332
2087,3,Chicago,340041
2625,2,NYC,415172
2320,3,NYC,380462
1960,1,NYC,299655
2491,3,NYC,407170
3230,5,Chicago,533038
1440,1,Chicago,229231
3361,5,LA,557458
1750,1,NYC,274479
2818,4,NYC,459416
2202,1,NYC,342102
1139,1,LA,182912
3311,4,NYC,539786
1829,3,NYC,305125
788,1,LA,123681
1914,3,NYC,312263
1444,3,NYC,251374
1086,2,NYC,181255
3199,1,Chicago,484967
1701,3,Chicago,280553
2977,2,NYC,464613
2359,1,LA,364493
3397,3,NYC,535007
1352,3,LA,235555
1698,3,Chicago,285057
1253,5,NYC,234630
2684,5,LA,450162
2042,2,NYC,324950
1793,5,NYC,317827
1253,3,LA,219827
3216,1,NYC,497250
584,4,NYC,123799
1040,4,LA,200023
2207,2,Chicago,352967
1720,3,NYC,287064
2321,3,Chicago,381820
736,4,LA,145538
2208,3,LA,359542
2022,3,LA,329791
1259,1,LA,195687
2786,5,Chicago,465421
3377,4,LA,544587
2227,4,NYC,373112
2357,3,Chicago,380885
1955,4,Chicago,329667
2479,2,LA,386880
3363,4,Chicago,547019
531,2,LA,96525
3076,3,Chicago,496380
1139,4,Chicago,213573
879,4,NYC,175758
2160,3,Chicago,349354
994,3,Chicago,174764
501,3,LA,108769
2882,4,LA,468971
1534,3,LA,258311
2938,1,NYC,446854
1575,3,Chicago,266818
984,5,NYC,195279
778,4,LA,156332
2629,2,Chicago,417919
3068,2,Chicago,476925
2182,5,LA,376864
1697,4,LA,298859
3075,2,NYC,478270
3355,1,LA,514823
2920,4,NYC,482168
3237,3,LA,518294
2200,2,LA,353009
3345,5,LA,554822
3170,1,LA,485418
1084,4,NYC,201134
604,3,LA,122005
541,5,NYC,127483
3311,4,NYC,537569
668,1,Chicago,105261
1607,3,Chicago,269764
1076,5,LA,209532
931,4,LA,180059
2073,2,LA,332859
3154,4,NYC,515428
3403,2,Chicago,530628
1029,2,NYC,176626
1930,4,LA,332560
2095,2,NYC,336447
1336,5,Chicago,246215
2090,1,NYC,319887
1264,3,NYC,217440
1454,5,LA,264519
3387,5,LA,558834
2185,4,NYC,371206
3226,5,Chicago,535955
2879,4,LA,471023
3384,4,NYC,548124
1589,1,NYC,244211
1167,3,NYC,204798
3181,1,NYC,483193
2252,2,Chicago,359296
2784,2,LA,435759
1890,5,NYC,338434
850,3,LA,161280
2366,3,LA,380372
2638,1,NYC,406740
828,2,Chicago,144864
1269,2,LA,210286
1778,5,LA,315872
2474,3,Chicago,400031
682,3,Chicago,128485
537,4,LA,122729
694,4,LA,146645
2302,1,NYC,351634
1487,1,NYC,234833
1374,4,Chicago,242363
2248,5,LA,382844
1238,2,LA,204305
1024,3,LA,183836
2281,1,Chicago,351827
2998,5,NYC,499560
2309,5,Chicago,398920
2696,3,LA,433197
567,1,Chicago,91670
1206,4,NYC,219472
1665,1,Chicago,263524
2610,4,NYC,428495
2075,3,NYC,345501
1970,2,Chicago,319456
3205,3,NYC,509684
765,5,LA,165112
1456,3,Chicago,251268
1674,5,NYC,298349
563,5,Chicago,134822
2003,5,Chicago,345864
1031,4,NYC,192546
2590,1,NYC,396883
2534,5,Chicago,428597
1463,2,NYC,240751
1947,5,Chicago,339221
3076,4,NYC,496826
2656,5,LA,451415
2366,3,NYC,383505
2775,2,Chicago,439355
2469,5,LA,416640
1561,2,Chicago,255733
3381,2,LA,526929
2073,1,NYC,316577
1790,2,LA,290728
3237,2,LA,506188
3250,2,LA,502778
1959,5,Chicago,339803
3499,2,LA,540210
2511,1,NYC,385606
684,1,NYC,112952
772,1,LA,127724
1056,2,LA,180530
1081,3,LA,190048
3158,3,Chicago,505395
2067,1,LA,319371
2686,5,Chicago,455480
671,5,NYC,152349
2098,2,NYC,337901
1066,5,Chicago,213320
3500,2,NYC,545407
1472,2,NYC,236160
1191,5,NYC,224935
2249,5,NYC,389845
3408,2,Chicago,536062
664,3,LA,130768
611,1,LA,98118
1967,3,Chicago,322520
2376,2,Chicago,377229
1164,4,LA,214021
2516,4,NYC,417491
2672,3,Chicago,433482
643,5,Chicago,150495
1574,1,LA,247572
3454,1,LA,528778
2531,1,NYC,389123
640,3,Chicago,130535
3378,3,Chicago,535093
2667,5,LA,451375
1526,2,NYC,253173
1849,2,Chicago,301079
3290,3,NYC,521007
1854,1,Chicago,283939
2813,2,LA,442900
1692,3,LA,286907
2153,5,LA,370735
504,2,Chicago,91314
2309,2,LA,361502
3455,4,Chicago,557470
3007,2,NYC,475042
2236,3,NYC,369075
1195,1,Chicago,186828
2874,1,Chicago,445003
2978,4,LA,486054
1775,3,NYC,298273
3440,3,LA,549812
2659,5,LA,449457
1278,4,NYC,226797
2594,2,Chicago,413328
2073,3,LA,336545
2800,4,Chicago,458740
564,3,Chicago,112197
3286,2,Chicago,513707
3071,4,NYC,499732
2841,2,LA,444183
2220,1,Chicago,345342
1469,4,Chicago,256995
1271,2,LA,206718
2247,4,LA,376190
2290,3,Chicago,373870
871,3,NYC,163719
544,3,NYC,113119
2083,4,Chicago,353827
3355,1,Chicago,515873
1952,5,NYC,347047
3410,3,LA,536898
2130,4,Chicago,356717
670,1,Chicago,111192
1978,1,NYC,304825
3438,1,Chicago,529557
2429,1,LA,369765
1789,4,NYC,307856
2164,2,Chicago,342016
2155,3,Chicago,349230
1167,2,NYC,197928
3388,1,Chicago,521713
678,5,Chicago,153044
1238,3,Chicago,212056
830,5,NYC,173851
1325,3,LA,227909
1561,5,LA,281692
2338,5,NYC,396332
3090,5,NYC,516892
638,3,NYC,123860
3155,4,Chicago,512161
2378,5,NYC,407166
3183,2,LA,501558
734,5,NYC,163581
1906,1,NYC,292603
2251,5,LA,391993
2349,3,LA,385745
1982,1,NYC,307491
593,2,Chicago,105999
578,3,Chicago,114867
680,4,Chicago,138016
3362,3,LA,530155
2959,2,LA,460118
2172,1,LA,336615
2974,5,LA,496174
